id,first_name,rank,pct,census_trash
368,"Erik",147484,99.56402050391907,33.9291
369,"Calvin",145726,99.41396868094918,39.345
370,"Cathy",145486,0.18377575849222605,61.6469
371,"Cole",144944,99.64055083342532,17.9599
372,"Jenna",144921,0.17152862594102994,25.6131
373,"Anita",144543,0.28368098074621395,60.1192
374,"Doris",144227,0.5058463394510043,73.0398
375,"Glenn",144158,99.29383038055467,59.1648
376,"Joanne",143964,0.1929593509488483,65.0872
377,"Jay",143372,98.78079401835784,49.3445
378,"Zoe",143051,0.37596521520296955,14.1522
379,"Eugene",142843,99.24812556443088,61.1072
380,"Mackenzie",142670,5.18150977780893,17.8931
381,"Gina",142471,0.2587249334952376,47.2994
382,"Paige",142384,0.6444242330598944,23.4962
383,"Parker",141444,82.06215887559742,12.8304
384,"Aubrey",140631,11.232871841912523,16.7929
385,"Ronnie",140241,95.57903894011024,56.7652
386,"Chris",139911,85.74093530887494,51.5984
387,"Regina",139780,0.3248590642438117,51.254
388,"Mitchell",139649,99.28320288723872,39.0838
389,"Colton",139504,99.86093588714301,14.3004
390,"Mike",139328,99.64400551217271,59.4403
391,"Heidi",138818,0.23912677030356297,42.1532
392,"Oscar",138677,99.49739322310116,30.6385
393,"Frederick",138015,99.48266492772525,54.6299
394,"Colleen",136235,0.20546702389253862,52.4777
395,"Jon",136011,99.25079589150877,50.7735
396,"Sylvia",135964,0.32701965226089263,57.9681
397,"Beth",135961,0.20857231117747,55.297
398,"Sabrina",135848,0.24254681703079914,32.734
399,"Alejandro",135833,99.39263654634736,23.0987
400,"Derrick",135584,99.3000649044135,37.6449
401,"Manuel",135399,99.37444146559427,37.4554
402,"Autumn",135317,0.22546538867991459,19.3456
403,"Kaylee",135064,0.12865012142391755,15.7051
404,"Gabrielle",134960,0.5660306757557795,22.8955
405,"Hayden",134828,77.10861245438633,14.5807
406,"Stanley",134771,99.46947043503425,59.5009
407,"Dean",134764,99.04870736992075,45.7321
408,"Eva",134623,0.249981058214421,35.797
409,"Barry",134307,99.52496891450186,59.0488
410,"Faith",133523,0.19067501479145915,24.1979
411,"Edwin",133395,99.49248472581431,42.7655
412,"Carla",133314,0.2812622830310395,51.3343
413,"Lydia",133306,0.1409523952410244,30.1475
414,"Eli",132632,99.3402798721274,13.6055
415,"Ricardo",131979,99.48931269368612,32.6076
416,"Peyton",131945,37.67478873773163,13.3685
417,"Katelyn",131712,0.1165474672011662,22.3016
418,"Kristina",131497,0.25242477014684744,38.0577
419,"Terri",130808,0.6066830774876154,57.227
420,"Brayden",130586,99.2120135389705,11.6165
421,"Josiah",130051,99.6693604816572,11.7803
422,"Jorge",130041,99.48631585423058,27.6281
423,"Lindsay",129943,2.397658973549941,34.0882
424,"Eddie",129941,95.9042950262042,54.8354
425,"Mario",129572,99.24443552619393,34.3829
426,"Alexa",129198,0.21610396445765415,17.4737
427,"Eleanor",128267,0.08767570770346231,34.7907
428,"Micheal",128186,98.69018457553868,49.6596
429,"Gabriella",128161,0.05211655651875375,14.8409
430,"Vicki",127827,0.17466967072684175,63.1399
431,"Garrett",127519,99.65338498576682,25.9319
432,"Leonard",126962,99.46125612387958,58.1343
433,"Leo",126863,99.50813081828429,26.488
434,"Cory",126639,95.05365645654183,35.6495
435,"Sally",126217,0.24052385970194187,63.6759
436,"Naomi",126193,0.11447703121409268,27.0882
437,"Carson",126015,94.08165694560171,14.3938
438,"Marvin",125961,99.30454664539023,54.0917
439,"Dakota",125959,70.08050238569693,19.6215
440,"Annette",125841,0.276509245794296,57.872
441,"Howard",125341,99.49417987729474,62.4665
442,"Colin",125154,99.65402623967272,24.0188
443,"Tristan",125007,94.89308598718472,17.0489
444,"Brent",124743,99.57111821905839,44.2762
445,"Bailey",124339,15.612076661385407,18.3851
446,"Melinda",123492,0.24687753052829334,49.8098
447,"Vivian",123145,0.5314645336798083,40.947
448,"Harry",123123,99.48344338588241,60.8912
449,"Marc",122774,99.59600566895271,45.86
450,"Tamara",122223,0.31089729428994545,47.316
451,"Lucy",122157,0.13053529474364955,29.1113
452,"Jo",122119,0.8985252090174337,68.1946
453,"Harper",122026,4.652606821497058,6.34973
454,"Francisco",121907,99.33801996603968,30.7494
455,"Erika",121720,0.42939779822543545,33.7485
456,"Norma",120580,0.4795082103168022,67.031
457,"Tommy",120515,98.54209019624113,54.5849
458,"Ernest",120223,99.29131696929872,58.7893
459,"Andre",119432,98.34717663607744,34.4819
460,"Jessie",119201,49.30873063145443,46.2545
461,"Bryce",119123,97.20457006623407,20.5435
462,"Francis",119117,89.99135303944861,56.0266
463,"Deanna",118900,0.18590748528174939,47.8323
464,"Micah",118641,89.07376033580296,18.0328
465,"Marissa",118610,0.22005986004552733,26.5775
466,"Brooklyn",118256,1.4167484102286565,11.4958
467,"Darrell",118116,99.2168715500017,53.7827
468,"Jackie",118024,39.87494069002915,58.8649
469,"Ivan",117906,99.55897070547725,24.5612
470,"Carmen",117302,6.6073638983137535,45.4789
471,"Nora",116707,0.21008251433075995,25.8164
472,"Kylie",116615,0.3750709599965699,16.7026
473,"Diego",116546,99.80093696909374,15.4425
474,"Aidan",116527,97.69838749817639,15.5668
475,"Annie",115402,0.3411890608481655,55.3092
476,"Max",115390,99.3552300892625,24.9384
477,"Grant",115092,99.82883258610504,26.142
478,"Josephine",115051,0.16399075192740611,42.1421
479,"Spencer",115027,95.7097029393099,26.4927
480,"Lois",114407,0.5038363037226743,72.9551
481,"Jaime",113570,57.54301311966188,35.7919
482,"Nolan",113551,99.60194097806271,14.6663
483,"Jake",113539,99.81768379147253,22.4248
484,"Melvin",113437,99.06467907296562,56.8274
485,"Tonya",113373,0.34850008379420144,48.7412
486,"Grayson",112640,96.4444247159091,8.61882
487,"Maureen",112219,0.20848875858811788,61.7191
488,"Layla",111978,0.09039096965475361,9.43992
489,"Ariana",111962,0.17506743359354066,15.008
490,"Yvonne",111207,0.3599036031904466,59.3691
491,"Miranda",111178,0.1640207595027793,26.8451
492,"Maya",110592,0.1451271339699074,14.3139
493,"Caitlin",110286,0.24814482345900654,27.8211
494,"Mariah",110234,0.16200627755501934,20.2287
495,"Alison",109947,0.4234940471317999,35.697
496,"Eileen",109733,0.1831181139675394,60.1789
497,"Tanya",109663,0.3399195717789957,46.1856
498,"Joy",108145,1.0468260206204631,49.9097
499,"Charlie",107856,73.59071354398458,33.1118
500,"Jocelyn",107589,0.3178261718205393,21.8259
501,"Fred",106639,99.44579375275462,65.2316
502,"Cooper",105751,97.84588325405906,10.9896
503,"Irene",105546,0.30922725636215487,60.3855
504,"Makayla",105411,0.1423627515154965,16.3622
505,"Brandy",105134,2.042212795099587,38.861
