rank,name,domain,registrar
295,Paccar,paccar.com,NETWORK SOLUTIONS INC.
296,Gateway,gateway.com,NETWORK SOLUTIONS INC.
297,Saks,saksincorporated.com,NETWORK SOLUTIONS INC.
298,Lennar,lennar.com,NETWORK SOLUTIONS INC.
299,Avista,avistacorp.com,NETWORK SOLUTIONS INC.
300,Unisys,unisys.com,NETWORK SOLUTIONS INC.
301,Owens-Illinois,o-i.com,NETWORK SOLUTIONS INC.
302,Avon Products,avon.com,NETWORK SOLUTIONS INC.
303,Parker Hannifin,parker.com,NETWORK SOLUTIONS INC.
304,NCR,ncr.com,NETWORK SOLUTIONS INC.
305,Smithfield Foods,smithfieldfoods.com,NETWORK SOLUTIONS INC.
306,Rohm & Haas,rohmhaas.com,REGISTER.COM INC.
307,Conectiv,conectiv.com,NETWORK SOLUTIONS INC.
308,ServiceMaster,svm.com,NETWORK SOLUTIONS INC.
309,PPL,pplweb.com,NETWORK SOLUTIONS INC.
310,Air Products & Chemicals,airproducts.com,REGISTER.COM INC.
311,Cummins,cummins.com,NETWORK SOLUTIONS INC.
312,Idacorp,idacorpinc.com,NETWORK SOLUTIONS INC.
313,State Street Corp.,statestreet.com,ALLDOMAINS.COM INC.
314,Nordstrom,nordstrom.com,EMARKMONITOR INC. DBA MARKMONITOR
315,Caremark Rx,caremarkrx.com,NETWORK SOLUTIONS INC.
316,Allied Waste Industries,alliedwaste.com,NETWORK SOLUTIONS INC.
317,Southwest Airlines,southwest.com,BULKREGISTER.COM INC.
318,Medtronic,medtronic.com,NETWORK SOLUTIONS INC.
319,Providian Financial,providian.com,NETWORK SOLUTIONS INC.
320,VF,vfc.com,REGISTER.COM INC.
321,Federal-Mogul,federal-mogul.com,NETWORK SOLUTIONS INC.
322,Eastman Chemical,eastman.com,CORPORATE DOMAINS INC.
323,Baker Hughes,bakerhughes.com,NETWORK SOLUTIONS INC.
324,Pulte Homes,pulte.com,NETWORK SOLUTIONS INC.
325,Apple Computer,apple.com,NETWORK SOLUTIONS INC.
326,Dollar General,dollargeneral.com,NETWORK SOLUTIONS INC.
327,Fortune Brands,fortunebrands.com,NETWORK SOLUTIONS INC.
328,R.R. Donnelley & Sons,rrdonnelley.com,NETWORK SOLUTIONS INC.
329,USA Networks,usanetwork.com,NETWORK SOLUTIONS INC.
330,Charles Schwab,schwab.com,NETWORK SOLUTIONS INC.
331,BJ's Wholesale Club,bjs.com,NETWORK SOLUTIONS INC.
332,Ikon Office Solutions,ikon.com,NETWORK SOLUTIONS INC.
333,Tribune,tribune.com,NETWORK SOLUTIONS INC.
334,TransMontaigne,transmontaigne.com,NETWORK SOLUTIONS INC.
335,Tesoro Petroleum,tesoropetroleum.com,NETWORK SOLUTIONS INC.
336,Praxair,praxair.com,REGISTER.COM INC.
337,American Family Ins. Group,amfam.com,NETWORK SOLUTIONS INC.
338,Engelhard,engelhard.com,NETWORK SOLUTIONS INC.
339,Sherwin-Williams,sherwin.com,EMARKMONITOR INC. DBA MARKMONITOR
340,Goodrich,bfgoodrich.com,NETWORK SOLUTIONS INC.
341,Ryder System,ryder.com,NETWORK SOLUTIONS INC.
342,CNF,cnf.com,NETWORK SOLUTIONS INC.
343,Barnes & Noble,barnesandnoble.com,NETWORK SOLUTIONS INC.
344,Graybar Electric,graybar.com,NETWORK SOLUTIONS INC.
345,Countrywide Credit Industries,countrywide.com,NETWORK SOLUTIONS INC.
346,AutoZone,autozone.com,NETWORK SOLUTIONS INC.
347,Mattel,mattel.com,NETWORK SOLUTIONS INC.
348,RadioShack,radioshackcorporation.com,NETWORK SOLUTIONS INC.
349,Owens Corning,owenscorning.com,NETWORK SOLUTIONS INC.
350,W.W. Grainger,grainger.com,NETWORK SOLUTIONS INC.
351,Adams Resources & Energy,
352,Pitney Bowes,pitneybowes.com,NAMEENGINE INC.
353,Dole Food,dole.com,NETWORK SOLUTIONS INC.
354,ITT Industries,itt.com,NETWORK SOLUTIONS INC.
355,KB Home,kbhome.com,NETWORK SOLUTIONS INC.
356,McGraw-Hill,mcgraw-hill.com,NETWORK SOLUTIONS INC.
357,OfficeMax,officemax.com,NETWORK SOLUTIONS INC.
358,Park Place Entertainment,parkplace.com,NETWORK SOLUTIONS INC.
359,Sierra Pacific Resources,sierrapacific.com,TUCOWS INC.
360,Estee Lauder,elcompanies.com,REGISTER.COM INC.
361,Maytag,maytagcorp.com,NETWORK SOLUTIONS INC.
362,Hershey Foods,hersheys.com,NETWORK SOLUTIONS INC.
363,Pinnacle West Capital,pinnaclewest.com,REGISTER.COM INC.
364,Dover,dovercorporation.com,NETWORK SOLUTIONS INC.
365,Micron Technology,micron.com,REGISTER.COM INC.
366,Ameren,ameren.com,REGISTER.COM INC.
367,Murphy Oil,murphyoilcorp.com,NETWORK SOLUTIONS INC.
368,D.R. Horton,drhorton.com,NETWORK SOLUTIONS INC.
369,Willamette Industries,weyerhaeuser.com,NETWORK SOLUTIONS INC.
370,Quantum,quantum.com,NETWORK SOLUTIONS INC.
371,Golden West Financial,worldsavings.com,NETWORK SOLUTIONS INC.
372,Oxford Health Plans,oxfordhealth.com,NETWORK SOLUTIONS INC.
373,Cablevision Systems,cablevision.com,NETWORK SOLUTIONS INC.
374,Healthsouth,healthsouth.com,NETWORK SOLUTIONS INC.
375,Foot Locker,footlocker-inc.com,REGISTER.COM INC.
376,Administaff,administaff.com,NETWORK SOLUTIONS INC.
377,Black & Decker,bdk.com,NETWORK SOLUTIONS INC.
378,Jabil Circuit,jabil.com,ALLDOMAINS.COM INC.
379,Mutual of Omaha Insurance,mutualofomaha.com,NETWORK SOLUTIONS INC.
380,Rockwell Automation,rockwell.com,NETWORK SOLUTIONS INC.
381,Golden State Bancorp,goldenstate.com,NETWORK SOLUTIONS INC.
382,Longs Drug Stores,longs.com,NETWORK SOLUTIONS INC.
383,Levi Strauss,levistrauss.com,REGISTER.COM INC.
384,Kelly Services,kellyservices.com,ALLDOMAINS.COM INC.
385,NorthWestern,northwestern.com,NETWORK SOLUTIONS INC.
386,Cooper Industries,cooperindustries.com,NETWORK SOLUTIONS INC.
387,Computer Associates Intl.,ca.com,NETWORK SOLUTIONS INC.
388,Comerica,comerica.com,NETWORK SOLUTIONS INC.
389,Temple-Inland,temple-inland.com,NETWORK SOLUTIONS INC.
390,Lexmark International,lexmark.com,NETWORK SOLUTIONS INC.
391,Nucor,nucor.com,NETWORK SOLUTIONS INC.
392,Hormel Foods,hormel.com,NETWORK SOLUTIONS INC.
393,SPX,spx.com,BULKREGISTER.COM INC.
394,Leggett & Platt,leggett.com,NETWORK SOLUTIONS INC.
395,Nash Finch,nashfinch.com,NETWORK SOLUTIONS INC.
396,Jones Apparel Group,jny.com,NETWORK SOLUTIONS INC.
397,Cox Communications,cox.com,REGISTER.COM INC.
398,Mellon Financial Corp.,mellon.com,NETWORK SOLUTIONS INC.
399,Sanmina-SCI,sanmina.com,NETWORK SOLUTIONS INC.
400,Regions Financial,regions.com,NETWORK SOLUTIONS INC.
401,Darden Restaurants,darden.com,ALLDOMAINS.COM INC.
402,Pathmark Stores,pathmark.com,NETWORK SOLUTIONS INC.
403,Amgen,amgen.com,ALLDOMAINS.COM INC.
404,MGM Mirage,mgmmirage.com,BULKREGISTER.COM INC.
405,Pittston,pittston.com,NETWORK SOLUTIONS INC.
406,Phelps Dodge,phelpsdodge.com,NETWORK SOLUTIONS INC.
407,Echostar Communications,dishnetwork.com,NETWORK SOLUTIONS INC.
408,Group 1 Automotive,group1auto.com,ALLDOMAINS.COM INC.
409,AK Steel Holding,aksteel.com,NETWORK SOLUTIONS INC.
410,Autoliv,autoliv.com,NETWORK SOLUTIONS INC.
411,MeadWestvaco,meadwestvaco.com,NETWORK SOLUTIONS INC.
412,Encompass Services,encompserv.com,NETWORK SOLUTIONS INC.
413,Starwood Hotels & Resorts,starwood.com,NETWORK SOLUTIONS INC.
414,CDW Computer Centers,cdw.com,NETWORK SOLUTIONS INC.
415,Jacobs Engineering Group,jacobs.com,NETWORK SOLUTIONS INC.
416,LTV,ltvsteel.com,NETWORK SOLUTIONS INC.
417,Charter Communications,chartercom.com,NETWORK SOLUTIONS INC.
418,American Financial Group,amfnl.com,NETWORK SOLUTIONS INC.
419,York International,york.com,NETWORK SOLUTIONS INC.
420,Wisconsin Energy,wisenergy.com,NETWORK SOLUTIONS INC.
421,Constellation Energy,constellationenergy.com,NETWORK SOLUTIONS INC.
422,United Stationers,unitedstationers.com,NETWORK SOLUTIONS INC.
423,Clorox,clorox.com,NETWORK SOLUTIONS INC.
424,Advanced Micro Devices,amd.com,ALLDOMAINS.COM INC.
425,Steelcase,steelcase.com,NETWORK SOLUTIONS INC.
426,Fidelity National Financial,fnf.com,NETWORK SOLUTIONS INC.
427,Peter Kiewit Sons',kiewit.com,NETWORK SOLUTIONS INC.
428,FMC,fmc.com,NETWORK SOLUTIONS INC.
